	product_x	color	size	material	received_date	shipment_date_required	product_y	customer	quantity
0	ABS 04-CONT. LT.1 50g	Verde	50g	ABS 04	2023-02-21	2023-05-22	ABS 04-LT.2 50g	INDUSTRIE PLASTICHE SRL	30.0
1	ABS 04-CONT. LT.1 50g	Verde	50g	ABS 04	2023-03-11	2023-03-18	ABS 04-LT.2 50g	SINTETICPLAST SPA	7.0
2	ABS 04-CONT. LT.10 50g	Verde	50g	ABS 04	2023-02-21	2023-05-22	ABS 04-LT.2 50g	INDUSTRIE PLASTICHE SRL	30.0
3	ABS 04-CONT. LT.10 50g	Verde	50g	ABS 04	2023-03-11	2023-03-18	ABS 04-LT.2 50g	SINTETICPLAST SPA	7.0
4	ABS 04-CONT. LT.5 50g	Verde	50g	ABS 04	2023-02-21	2023-05-22	ABS 04-LT.2 50g	INDUSTRIE PLASTICHE SRL	30.0
5	ABS 04-CONT. LT.5 50g	Verde	50g	ABS 04	2023-03-11	2023-03-18	ABS 04-LT.2 50g	SINTETICPLAST SPA	7.0
6	ABS 04-CONT. LT.1 50g	Bianco	50g	ABS 04	2023-02-23	2023-05-24	ABS 04-LT.10 50g	PLASTICHEM SRL	120.0
7	ABS 04-CONT. LT.1 50g	Bianco	50g	ABS 04	2023-02-26	2023-03-28	ABS 04-LT.1 50g	AMBROSIO VETRI SOC. COOP.	116.0
8	ABS 04-CONT. LT.1 50g	Bianco	50g	ABS 04	2023-04-22	2023-05-22	ABS 04-LT.1 50g	PLASTICHEMICAL SPA	78.0
9	ABS 04-CONT. LT.1 50g	Bianco	50g	ABS 04	2023-06-11	2023-07-11	ABS 04-LT.2 50g	PLASTICA INDUSTRIALE SRL	24.0
10	ABS 04-CONT. LT.1 50g	Bianco	50g	ABS 04	2023-07-07	2023-07-14	ABS 04-LT.2 50g	CHEMPRODIE SRL	82.0
11	ABS 04-CONT. LT.1 50g	Bianco	50g	ABS 04	2023-07-26	2023-08-02	ABS 04-LT.5 50g	CHEMPRODIE SRL	28.0
12	ABS 04-CONT. LT.1 50g	Bianco	50g	ABS 04	2023-08-28	2023-09-27	ABS 04-LT.1 50g	ACETIFICIO ANDREA MILANO SRL	88.0
13	ABS 04-CONT. LT.10 50g	Bianco	50g	ABS 04	2023-02-23	2023-05-24	ABS 04-LT.10 50g	PLASTICHEM SRL	120.0
14	ABS 04-CONT. LT.10 50g	Bianco	50g	ABS 04	2023-02-26	2023-03-28	ABS 04-LT.1 50g	AMBROSIO VETRI SOC. COOP.	116.0
15	ABS 04-CONT. LT.10 50g	Bianco	50g	ABS 04	2023-04-22	2023-05-22	ABS 04-LT.1 50g	PLASTICHEMICAL SPA	78.0
16	ABS 04-CONT. LT.10 50g	Bianco	50g	ABS 04	2023-06-11	2023-07-11	ABS 04-LT.2 50g	PLASTICA INDUSTRIALE SRL	24.0
17	ABS 04-CONT. LT.10 50g	Bianco	50g	ABS 04	2023-07-07	2023-07-14	ABS 04-LT.2 50g	CHEMPRODIE SRL	82.0
18	ABS 04-CONT. LT.10 50g	Bianco	50g	ABS 04	2023-07-26	2023-08-02	ABS 04-LT.5 50g	CHEMPRODIE SRL	28.0
